City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Sennoy,RU,2023-01-27 04:24:01,52.1509,46.9631,9.36,92,97,4.63
161,Tanout,NE,2023-01-27 04:24:01,14.9709,8.8879,70.34,11,7,5.88
162,Ayan,RU,2023-01-27 04:24:02,56.45,138.1667,-8.21,60,100,13.11
163,Kurumkan,RU,2023-01-27 04:24:02,54.3,110.3,-3.39,96,98,1.25
164,Quatre Cocos,MU,2023-01-27 04:24:02,-20.2078,57.7625,78.1,88,100,9.57
165,Shakawe,BW,2023-01-27 04:24:03,-18.3667,21.85,62.8,91,67,4.76
166,Carnarvon,AU,2023-01-27 04:24:03,-24.8667,113.6333,82.31,57,0,21.07
167,Parana,AR,2023-01-27 04:21:17,-31.732,-60.5238,86.56,76,3,7.76
168,Kargil,IN,2023-01-27 04:24:04,34.5667,76.1,-5.04,82,34,0.83
169,Camalu,MX,2023-01-27 04:24:04,30.85,-116.0667,56.08,48,4,4.99
170,Kodiak,US,2023-01-27 04:24:05,57.79,-152.4072,27.91,93,0,6.91
171,Ambon,ID,2023-01-27 04:24:05,-3.6954,128.1814,83.57,73,48,0.85
172,Madisonville,US,2023-01-27 04:24:06,37.3281,-87.4989,28.94,81,76,7.31
173,Huarmey,PE,2023-01-27 04:24:06,-10.0681,-78.1522,70.79,82,99,4.74
174,Barber,CW,2023-01-27 04:24:07,12.2833,-69.0667,75.18,88,75,9.22
175,Vardo,NO,2023-01-27 04:24:07,70.3705,31.1107,24.78,93,100,21.85
176,Tiznit,MA,2023-01-27 04:24:08,29.5833,-9.5,44.01,78,0,4.43
177,Ormond Beach,US,2023-01-27 04:22:45,29.2858,-81.0559,54.25,76,40,5.75
178,Ridgecrest,US,2023-01-27 04:24:08,35.6225,-117.6709,47.46,35,0,0.0
179,Sikasso,ML,2023-01-27 04:24:09,10.9167,-7.0,75.78,19,38,5.55
180,Saint Anthony,US,2023-01-27 04:24:09,45.0205,-93.218,15.85,81,100,12.66
181,Vanavara,RU,2023-01-27 04:24:09,60.34,102.2797,7.2,95,99,6.51
182,Malakal,SS,2023-01-27 04:24:10,9.5334,31.6605,75.07,16,85,8.66
183,Charters Towers,AU,2023-01-27 04:24:10,-20.1,146.2667,91.09,47,69,15.35
184,Acapulco,MX,2023-01-27 04:22:10,16.8634,-99.8901,76.82,78,0,2.3
185,Turukhansk,RU,2023-01-27 04:24:11,65.8167,87.9833,3.6,94,100,15.64
186,New Norfolk,AU,2023-01-27 04:24:11,-42.7826,147.0587,79.88,31,92,3.0
187,Dingle,PH,2023-01-27 04:24:12,10.9995,122.6711,83.01,78,87,12.26
188,Cidreira,BR,2023-01-27 04:24:12,-30.1811,-50.2056,76.91,81,98,21.25
189,Nikolskoye,RU,2023-01-27 04:24:12,59.7035,30.7861,30.09,94,17,4.36
190,Nalut,LY,2023-01-27 04:24:13,30.3333,10.85,37.54,66,0,9.53
191,Leh,IN,2023-01-27 04:24:13,34.1667,77.5833,6.22,66,2,1.41
192,San Patricio,US,2023-01-27 04:24:14,28.017,-97.5169,57.06,57,53,5.77
193,Sioux Lookout,CA,2023-01-27 04:21:17,50.1001,-91.917,6.87,78,100,5.75
194,Baruun-Urt,MN,2023-01-27 04:24:14,46.6806,113.2792,-2.22,77,16,12.01
195,Smidovich,RU,2023-01-27 04:24:15,48.6,133.8167,-14.64,83,20,6.58
196,Pangnirtung,CA,2023-01-27 04:24:15,66.1451,-65.7125,-11.2,64,20,8.05
197,Aykhal,RU,2023-01-27 04:24:15,66.0,111.5,-26.14,98,100,8.16
198,Fonte Boa,BR,2023-01-27 04:24:16,-2.4959,-66.2662,73.22,97,96,2.86
199,Dudinka,RU,2023-01-27 04:24:16,69.4058,86.1778,1.62,94,100,16.15
200,Hilo,US,2023-01-27 04:24:17,19.7297,-155.09,74.28,87,40,3.44
201,Lulea,SE,2023-01-27 04:24:17,65.5842,22.1547,17.67,86,67,2.3
202,Zeya,RU,2023-01-27 04:24:18,53.75,127.2667,-16.37,83,14,2.35
203,Kavieng,PG,2023-01-27 04:24:18,-2.5744,150.7967,83.84,71,92,10.2
204,Goderich,CA,2023-01-27 04:24:18,43.7501,-81.7165,32.92,93,100,11.5
205,Esperance,AU,2023-01-27 04:24:19,-33.8667,121.9,69.03,73,100,13.49
206,Sibolga,ID,2023-01-27 04:24:19,1.7427,98.7792,78.58,86,99,3.74
207,Chokurdakh,RU,2023-01-27 04:24:20,70.6333,147.9167,-42.36,100,59,1.36
208,Brae,GB,2023-01-27 04:24:20,60.3964,-1.353,44.04,78,93,20.27
209,Mackay,AU,2023-01-27 04:24:21,-21.15,149.2,87.67,76,22,12.15
210,Ixtapa,MX,2023-01-27 04:24:21,20.7,-105.2,69.03,88,0,0.0
211,Elizabeth City,US,2023-01-27 04:24:21,36.2946,-76.2511,43.02,65,0,6.91
212,Ketchikan,US,2023-01-27 04:24:22,55.3422,-131.6461,45.07,93,100,11.5
213,La Libertad,EC,2023-01-27 04:24:22,-2.2333,-80.9,76.66,75,94,5.64
214,Hasaki,JP,2023-01-27 04:24:23,35.7333,140.8333,45.28,85,100,10.29
215,Namatanai,PG,2023-01-27 04:24:23,-3.6667,152.4333,84.85,64,94,6.62
216,Atar,MR,2023-01-27 04:24:23,20.5169,-13.0499,62.73,19,34,8.3
217,Arlit,NE,2023-01-27 04:24:24,18.7369,7.3853,66.83,15,4,9.8
218,Pinega,RU,2023-01-27 04:24:24,64.7001,43.3936,16.43,93,82,7.34
219,Antigonish,CA,2023-01-27 04:24:25,45.6169,-61.9986,43.95,86,49,8.01
220,Urumqi,CN,2023-01-27 04:24:25,43.801,87.6005,-1.25,78,100,2.24
221,Narsaq,GL,2023-01-27 04:24:25,60.9167,-46.05,1.2,73,59,12.46
222,Lebu,CL,2023-01-27 04:24:26,-37.6167,-73.65,57.33,83,0,16.11
223,Tuatapere,NZ,2023-01-27 04:24:26,-46.1333,167.6833,60.98,53,18,13.78
224,Sarangani,PH,2023-01-27 04:24:27,5.4033,125.4636,81.09,80,95,14.47
225,Mae Sai,TH,2023-01-27 04:24:27,20.4335,99.8762,79.7,40,0,2.19
226,Tura,IN,2023-01-27 04:24:27,25.5198,90.2201,76.91,39,82,2.04
227,Eregli,TR,2023-01-27 04:24:28,37.5133,34.0467,40.53,54,56,3.13
228,Carballo,ES,2023-01-27 04:23:58,43.213,-8.691,48.87,82,93,11.07
229,Bentong,MY,2023-01-27 04:24:29,3.5181,101.9079,88.5,70,100,2.98
230,Ishinomaki,JP,2023-01-27 04:24:29,38.4167,141.3,35.6,51,71,2.89
231,Ribeira Grande,PT,2023-01-27 04:24:29,38.5167,-28.7,57.78,69,3,5.99
232,Deputatskiy,RU,2023-01-27 04:24:30,69.3,139.9,-36.08,99,35,0.96
233,Fort Nelson,CA,2023-01-27 04:24:30,58.8053,-122.7002,6.94,84,20,6.91
234,Olafsvik,IS,2023-01-27 04:24:31,64.8945,-23.7142,34.56,72,35,43.24
235,Ostrovnoy,RU,2023-01-27 04:21:16,68.0531,39.5131,23.23,88,96,25.59
236,Buraydah,SA,2023-01-27 04:24:31,26.326,43.975,48.65,79,0,7.49
237,Aksarka,RU,2023-01-27 04:24:31,66.5606,67.7975,15.84,88,40,13.42
238,Dalhousie,IN,2023-01-27 04:24:32,32.5333,75.9833,42.26,49,0,6.73
239,Praya,CV,2023-01-27 04:24:32,14.9215,-23.5087,66.74,82,0,6.91
240,Reconquista,AR,2023-01-27 04:24:33,-29.15,-59.65,82.17,55,3,6.26
241,Sangar,RU,2023-01-27 04:24:33,63.9242,127.4739,-41.82,96,63,2.73
242,Sao Joao Da Barra,BR,2023-01-27 04:24:34,-21.6403,-41.0511,72.36,92,1,6.04
243,Dalby,AU,2023-01-27 04:24:34,-27.1833,151.2667,83.98,46,100,3.0
244,Darnah,LY,2023-01-27 04:24:34,32.767,22.6367,55.53,63,0,8.86
245,Biak,ID,2023-01-27 04:24:35,-0.9131,122.8766,80.33,77,100,3.02
246,Nemuro,JP,2023-01-27 04:24:36,43.3236,145.575,26.35,59,72,14.81
247,Port Shepstone,ZA,2023-01-27 04:24:36,-30.7414,30.455,73.24,86,63,12.3
248,Gazimurskiy Zavod,RU,2023-01-27 04:24:36,51.5461,118.3266,-6.54,83,80,1.43
249,Zhigansk,RU,2023-01-27 04:24:37,66.7697,123.3711,-53.88,99,62,2.04
250,Shingu,JP,2023-01-27 04:24:37,33.7333,135.9833,41.4,93,100,3.22
251,Luanda,AO,2023-01-27 04:23:42,-8.8368,13.2343,78.24,80,100,3.09
252,Katsuura,JP,2023-01-27 04:24:38,35.1333,140.3,48.11,52,79,13.31
253,Ponta Do Sol,PT,2023-01-27 04:24:38,32.6667,-17.1,61.43,64,5,6.93
254,College,US,2023-01-27 04:24:39,64.8569,-147.8028,-0.9,82,75,0.0
255,Ibra,OM,2023-01-27 04:24:39,22.6906,58.5334,59.79,63,63,2.13
256,Komsomolskiy,UZ,2023-01-27 04:24:39,40.4272,71.7189,23.72,80,9,4.61
257,San Quintin,MX,2023-01-27 04:24:40,30.4833,-115.95,56.86,60,99,0.87
258,Valdez,EC,2023-01-27 04:24:40,1.2492,-78.9831,77.83,84,100,6.22
259,Norman Wells,CA,2023-01-27 04:24:40,65.282,-126.8329,-2.16,84,100,6.91
260,Srednekolymsk,RU,2023-01-27 04:24:41,67.45,153.6833,-39.77,99,49,4.45
261,Jalu,LY,2023-01-27 04:24:41,29.0331,21.5482,53.13,80,13,4.56
262,Marawi,PH,2023-01-27 04:24:42,7.9986,124.2928,79.02,75,99,4.59
263,Kholodnyy,RU,2023-01-27 04:24:42,62.7167,147.95,-22.76,93,40,3.78
264,Tatarsk,RU,2023-01-27 04:24:43,55.219,75.9828,15.58,93,100,17.54
265,Libourne,FR,2023-01-27 04:24:43,44.9167,-0.25,39.7,89,100,6.38
266,Raboso,MX,2023-01-27 04:24:43,18.5667,-98.45,61.23,54,1,6.35
267,Gazanjyk,TM,2023-01-27 04:24:44,39.2446,55.5154,30.16,45,0,7.85
268,Hualmay,PE,2023-01-27 04:24:44,-11.0964,-77.6139,70.95,81,99,5.97
269,Longyan,CN,2023-01-27 04:24:44,25.1072,117.0225,55.56,42,41,5.86
270,Xinqing,CN,2023-01-27 04:24:45,48.2333,129.5,-3.78,66,95,5.86
271,Lichinga,MZ,2023-01-27 04:24:45,-13.3128,35.2406,64.49,94,75,3.44
272,Gizo,SB,2023-01-27 04:24:46,-8.103,156.8419,83.28,70,69,5.06
273,Sao Filipe,CV,2023-01-27 04:24:46,14.8961,-24.4956,71.35,73,66,2.57
274,Akonolinga,CM,2023-01-27 04:24:46,3.7667,12.25,67.73,94,78,3.67
275,Codrington,AU,2023-01-27 04:24:47,-38.2667,141.9667,83.77,23,1,9.33
276,Chebarkul,RU,2023-01-27 04:24:47,54.9749,60.3633,23.63,92,100,3.74
277,Santa Ana,US,2023-01-27 04:19:53,33.7456,-117.8678,63.91,29,0,4.61
278,Charlestown,AU,2023-01-27 04:23:13,-32.95,151.6667,82.81,80,89,7.0
279,Kununurra,AU,2023-01-27 04:22:06,-15.7667,128.7333,89.58,62,75,8.05
280,Dunedin,NZ,2023-01-27 04:24:18,-45.8742,170.5036,59.81,74,100,11.99
