City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Eseka,CM,3.65,10.7667,70.07,99,100,1.36,light rain
131,Isangel,VU,-19.55,169.2667,81.66,70,75,7.67,broken clouds
132,Katherine,AU,-14.4667,132.2667,93.52,40,40,12.66,scattered clouds
133,Wanning,CN,18.8003,110.3967,81.57,72,81,9.33,broken clouds
134,Okulovka,RU,58.4008,33.2908,54.32,70,12,3.36,few clouds
135,Lao Cai,VN,22.4833,103.95,90.07,45,13,3.94,few clouds
136,Gamba,GA,-2.65,10.0,77.18,90,100,4.38,overcast clouds
137,Cape Town,ZA,-33.9258,18.4232,62.38,87,75,12.66,moderate rain
138,Iqaluit,CA,63.7506,-68.5145,31.73,86,75,5.75,broken clouds
139,Butaritari,KI,3.0707,172.7902,82.89,77,93,13.22,overcast clouds
140,Kaberamaido,UG,1.7389,33.1594,68.47,88,78,1.19,broken clouds
141,Port Lincoln,AU,-34.7333,135.8667,67.06,66,30,18.01,scattered clouds
142,Yellowknife,CA,62.456,-114.3525,34.32,100,100,5.75,mist
143,Hearst,CA,49.6835,-83.6665,28.65,99,77,3.04,broken clouds
144,Byron Bay,AU,-28.65,153.6167,70.72,79,91,9.31,overcast clouds
145,Manzhouli,CN,49.6,117.4333,50.18,26,100,15.21,overcast clouds
146,Balkhash,KZ,46.844,74.9804,66.81,26,0,11.18,clear sky
147,Hualmay,PE,-11.0964,-77.6139,74.07,84,59,9.46,broken clouds
148,Lasa,IT,46.6166,10.7002,43.02,81,49,4.16,scattered clouds
149,Jamestown,US,42.097,-79.2353,35.24,83,0,3.44,clear sky
150,Coaldale,CA,49.7167,-112.6185,57.81,41,75,29.93,broken clouds
151,Lafiagi,NG,8.8667,5.4167,79.59,76,100,2.68,overcast clouds
152,Kirakira,SB,-10.4544,161.9205,84.02,71,49,6.15,scattered clouds
153,Nuuk,GL,64.1835,-51.7216,30.81,100,100,11.5,mist
154,Bakchar,RU,57.0186,82.0711,44.55,88,100,6.58,overcast clouds
155,Hithadhoo,MV,-0.6,73.0833,84.15,73,94,9.26,overcast clouds
156,Honiara,SB,-9.4333,159.95,83.82,75,94,2.91,light rain
157,Hilo,US,19.7297,-155.09,78.28,80,100,5.75,overcast clouds
158,New Norfolk,AU,-42.7826,147.0587,69.93,76,100,1.01,overcast clouds
159,Vanimo,PG,-2.6741,141.3028,84.94,71,75,5.46,broken clouds
160,Sitka,US,57.0531,-135.33,44.49,70,100,16.11,light rain
161,Bo Phloi,TH,14.3236,99.5161,86.58,56,91,4.7,overcast clouds
162,Ozernovskiy,RU,51.5,156.5167,38.61,79,91,7.9,overcast clouds
163,Touros,BR,-5.1989,-35.4608,77.09,89,100,7.61,overcast clouds
164,Arraial Do Cabo,BR,-22.9661,-42.0278,73.83,91,99,10.4,overcast clouds
165,Albi,FR,43.9298,2.148,59.7,91,99,4.32,overcast clouds
166,Khatanga,RU,71.9667,102.5,27.81,83,21,12.26,few clouds
167,Gravdal,NO,68.1214,13.5031,33.69,100,75,3.44,light snow
168,Puerto Escondido,MX,15.85,-97.0667,81.43,74,20,5.75,few clouds
169,Saskylakh,RU,71.9167,114.0833,26.13,89,76,8.46,broken clouds
170,Granadilla De Abona,ES,28.1188,-16.576,64.98,72,20,4.61,few clouds
171,Caravelas,BR,-17.7125,-39.2481,71.91,94,0,3.11,clear sky
172,Castro,BR,-24.7911,-50.0119,60.03,97,86,4.34,overcast clouds
173,Takaungu,KE,-3.6837,39.8566,77.49,79,56,17.38,broken clouds
174,Nikolskoye,RU,59.7035,30.7861,48.09,74,28,2.04,scattered clouds
175,Camabatela,AO,-8.1881,15.375,61.2,96,46,3.29,light rain
176,Bomet,KE,-0.7813,35.3416,58.93,95,100,2.98,overcast clouds
177,Magalia,US,39.8121,-121.5783,67.55,59,48,6.64,scattered clouds
178,Shihezi,CN,44.3,86.0333,67.84,21,0,10.47,clear sky
